id,category,name,price,reference_price,reference_unit,date
1,fruta,Banana,0.26,1.29,kg,2020-07-21 12:06:00
2,fruta,Plátano,0.34,1.99,kg,2020-07-21 12:06:00
3,fruta,Plátano macho,0.58,1.95,kg,2020-07-21 12:06:00
4,fruta,Uva blanca sin semillas,2.84,3.79,kg,2020-07-21 12:06:00
5,fruta,Uva negra sin semillas,2.99,3.99,kg,2020-07-21 12:06:00
6,fruta,Uva sabores sin semillas,2.39,5.98,kg,2020-07-21 12:06:00
7,fruta,Uva roja sin semillas,2.99,3.99,kg,2020-07-21 12:06:00
8,fruta,Manzana golden,0.33,1.59,kg,2020-07-21 12:06:00
9,fruta,Manzanas golden,1.94,1.29,kg,2020-07-21 12:06:00
10,fruta,Pera conferencia,0.38,1.99,kg,2020-07-21 12:06:00
11,fruta,Peras conferencia,2.69,1.79,kg,2020-07-21 12:06:00
12,fruta,Manzana granny smith,0.45,1.79,kg,2020-07-21 12:06:00
13,fruta,1/4 Sandía,1.27,0.69,kg,2020-07-21 12:06:00
14,fruta,Media sandía,2.35,0.69,kg,2020-07-21 12:06:00
15,fruta,Sandía,3.74,0.55,kg,2020-07-21 12:06:00
16,fruta,Medio melón piel de sapo,2.06,1.13,kg,2020-07-21 12:06:00
17,fruta,Melón piel de sapo,3.12,0.89,kg,2020-07-21 12:06:00
18,fruta,Medio melón Galia,1.66,1.93,kg,2020-07-21 12:06:00
19,fruta,Melón Galia,2.75,1.69,kg,2020-07-21 12:06:00
20,fruta,Limones,2.29,2.29,kg,2020-07-21 12:06:00
21,fruta,Limón,0.52,2.49,kg,2020-07-21 12:06:00
22,fruta,Naranja,0.41,1.59,kg,2020-07-21 12:06:00
23,fruta,Naranjas,3.79,1.26,kg,2020-07-21 12:06:00
24,fruta,Pomelo,0.81,2.19,kg,2020-07-21 12:06:00
25,fruta,Limas,1.6,3.99,kg,2020-07-21 12:06:00
26,fruta,Kiwis amarillos,2.9,5.79,kg,2020-07-21 12:06:00
27,fruta,Kiwi verde,0.42,3.85,kg,2020-07-21 12:06:00
28,fruta,Kiwis verdes,3.59,3.59,kg,2020-07-21 12:06:00
29,fruta,Aguacate,1.28,3.99,kg,2020-07-21 12:06:00
30,fruta,Aguacates,2.08,3.79,kg,2020-07-21 12:06:00
31,fruta,Piña,2.5,1.19,kg,2020-07-21 12:06:00
32,fruta,Media piña,1.39,1.39,kg,2020-07-21 12:06:00
33,fruta,Guacamole Hacendado,3.29,6.58,kg,2020-07-21 12:06:00
34,fruta,Guacamole Hacendado,1.59,7.95,kg,2020-07-21 12:06:00
35,fruta,Mango,1.48,2.85,kg,2020-07-21 12:06:00
36,fruta,Piña natural a rodajas,2.55,5.1,kg,2020-07-21 12:06:00
37,fruta,Papaya,6.15,4.49,kg,2020-07-21 12:06:00
38,fruta,Media papaya,3.24,4.69,kg,2020-07-21 12:06:00
39,fruta,Coco troceado,1.69,14.08,kg,2020-07-21 12:06:00
40,fruta,Nectarina,0.48,2.2,kg,2020-07-21 12:06:00
41,fruta,Fresas,2.29,5.73,kg,2020-07-21 12:06:00
42,fruta,Ciruela roja,0.52,2.89,kg,2020-07-21 12:06:00
43,fruta,Frambuesas,2.29,13.47,kg,2020-07-21 12:06:00
44,fruta,Ciruela amarilla,0.46,2.89,kg,2020-07-21 12:06:00
45,fruta,Moras,1.99,15.92,kg,2020-07-21 12:06:00
46,fruta,Arándanos,2.59,11.51,kg,2020-07-21 12:06:00
47,fruta,Melocotones amarillos mini,3.45,2.3,kg,2020-07-21 12:06:00
48,fruta,Melocotón amarillo,0.64,2.65,kg,2020-07-21 12:06:00
49,fruta,Paraguayo,0.37,2.5,kg,2020-07-21 12:06:00
50,fruta,Ciruelas rojas mini,1.28,2.55,kg,2020-07-21 12:06:00
51,fruta,Ciruelas amarilla mini,1.5,2.55,kg,2020-07-21 12:06:00
52,lechuga_y_ensalada_preparada,Lechuga iceberg,0.85,0.85,ud,2020-07-21 12:06:00
